 
 
 
 
 
 
                         MATH/LIBRARY ROUTINE LIST
 
 
Routine      Library      Diskette       Routine      Library      Diskette
EPISB    SMATH2A             6           DEVLRG   DMATH2A            25
DEPISB   DMATH2A            25           EVLRH    SMATH2A             6
EPISF    SMATH2A             6           DEVLRH   DMATH2A            25
DEPISF   DMATH2A            25           EVLSB    SMATH2A             6
ERSET    MATHCORE            1           DEVLSB   DMATH2A            25
EVAHF    SMATH2A             6           EVLSF    SMATH2A             6
DEVAHF   DMATH2A            25           DEVLSF   DMATH2A            25
EVASB    SMATH2A             6           FCOSI    SMATH6             16
DEVASB   DMATH2A            25           DFCOSI   DMATH6             35
EVASF    SMATH2A             6           FCOST    SMATH6             16
DEVASF   DMATH2A            25           DFCOST   DMATH6             35
EVBHF    SMATH2A             6           FDGRD    SMATH8B            19
DEVBHF   DMATH2A            25           DFDGRD   DMATH8B            38
EVBSB    SMATH2A             6           FDHES    SMATH8B            19
DEVBSB   DMATH2A            25           DFDHES   DMATH8B            38
EVBSF    SMATH2A             6           FDJAC    SMATH8B            19
DEVBSF   DMATH2A            25           DFDJAC   DMATH8B            38
EVCCG    SMATH2A             6           FFT2B    SMATH6             16
DEVCCG   DMATH2A            25           DFFT2B   DMATH6             35
EVCCH    SMATH2A             6           FFT2D    SMATH6             16
DEVCCH   DMATH2A            25           DFFT2D   DMATH6             35
EVCHF    SMATH2A             6           FFTCB    SMATH6             16
DEVCHF   DMATH2A            25           DFFTCB   DMATH6             35
EVCRG    SMATH2A             6           FFTCF    SMATH6             16
DEVCRG   DMATH2A            25           DFFTCF   DMATH6             35
EVCRH    SMATH2A             6           FFTCI    SMATH6             16
DEVCRH   DMATH2A            25           DFFTCI   DMATH6             35
EVCSB    SMATH2A             6           FFTRB    SMATH6             16
DEVCSB   DMATH2A            25           DFFTRB   DMATH6             35
EVCSF    SMATH2A             6           FFTRF    SMATH6             16
DEVCSF   DMATH2A            25           DFFTRF   DMATH6             35
EVEHF    SMATH2A             6           FFTRI    SMATH6             16
DEVEHF   DMATH2A            25           DFFTRI   DMATH6             35
EVESB    SMATH2A             6           FNLSQ    SMATH3C            10
DEVESB   DMATH2A            25           DFNLSQ   DMATH3C            29
EVESF    SMATH2A             6           FPS2H    SMATH5B            14
DEVESF   DMATH2A            25           DFPS2H   DMATH5B            33
EVFHF    SMATH2A             6           FPS3H    SMATH5C            15
DEVFHF   DMATH2A            25           DFPS3H   DMATH5C            34
EVFSB    SMATH2A             6           FQRUL    SMATH4B            12
DEVFSB   DMATH2A            25           DFQRUL   DMATH4B            31
